Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Unknown Californian Hybrid,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Haze Strain,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Hybrid Strain,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Hybrid Strain 1,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Hybrid Strain 2,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Hybrid Strain 3,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Hybrid Strain 4,Balanced hybrid,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Haze Strain,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Lineages,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain 1,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain 2,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain 3,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain 4,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Indica Strain 5,Indica dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Korean Strain,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Lineages,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Male ,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Male 2,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Pacific Northwest Strain,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Purple Strain,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 1,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 2,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 3,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 4,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 5,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Sativa Strain 6,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Spanish Sativa,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 10,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 11,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 12,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 2,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 3,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 4,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 5,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 7,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 8,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Strain 9,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed Strain,,NZ Medical,Rua,Rua THC26,,,,OG Kush,,Wedding Cake,,,,,,,,,,,,,,,,,
Vintner's Moonshine,,,,,,,,Purple Mayhem,,Zinn,,,,,,,,,,,,,,,,,
Wake‛n’Cake,,NZ Medical,Helius,Helius Maya,,,,Wedding Cake,,Grapefruit,,Unknown Strain 5,,,,,,,,,,,,,,,
Wappa,,NZ Medical,Flowerman,Flowerman Wappa,,,,Sweet Skunk,,,,,,,,,,,,,,,,,,,
Warlock,,,,,,,,Skunk #1,75.00%,Afghan/Pakistan Indica Landraces,25.00%,,,,,,,,,,,,,,,,
Wedding Cake,,,,,Triangle Mints #23; Cake; Pink Cookies,,Triangle Mints,,,,,,,,,,,,,,,,,,,,
Wedding Crasher,,,,,,,,Purple Punch,,Wedding Cake,,,,,,,,,,,,,,,,,
White Fire,,,,,White Fire OG; WiFi; WiFi OG; WiFi Kush,,,Fire Kush,,Triangle,,,,,,,,,,,,,,,,,
White OG,,,,,,,,San Fernando Valley OG Kush,,Triangle,,,,,,,,,,,,,,,,,
White Rhino,,,,,Medicine Man,,,Afghan/Pakistan Indica Landraces,,White Widow,,,,,,,,,,,,,,,,,
White Russian,,,,,,,,White Widow,,AK-47,,,,,,,,,,,,,,,,,
White Sherb,,NZ Medical,Chill Division,Chill Division White Sherb,,,,Pure Michigan,,Sherb Cream Pie,,,,,,,,,,,,,,,,,
White Sherbert,,,,,,,,Triangle,,Sherbert,,,,,,,,,,,,,,,,,
White Widow,,NZ Medical,Rua,Rua T18 White Widow,Black Widow,,,Brazil Sativa Landraces,,Kerala Indica,,,,,,,,,,,,,Denmark,,"THC 18%, CBD <1%",,
Wild Thailand,,,,,,,,Koh Chang Thai,,,,,,,,,,,,,,,,,,,
William’s Wonder ,,,,,,,,Unknown Indica Lineages,,,,,,,,,,,,,,,,,,,
Zinn,,,,,Fat Purple,,,Rock Bud,,Gooey,,,,,,,,,,,,,,,,,
Zkittlez,Indica dominant,Disputed,,,The Original Z,,,,,,,,,,,,,,,,,,,,,,
Zour Apples,,NZ Medical,Medleaf,Medleaf Zour Apple,,,,Ethos Glue,,Plantman Jack,,,,,,,,,,,,,Canada,Non-irradiated,"THC 23%, CBD <1%",,
