Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Dogbud Bag Seed,Indica dominant,Bag seed,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bubble F1,,,,,,,,Double Dutch,,Bubblegum,,,,,,,,,,,,,,,,,
Double Dawg,,,,,,,,Chemdawg D,87.50%,Afghani #1,12.50%,,,,,,,,,,,,,,,,
Double Deth,,,,,,,,Gooey,,Deth Grip,,,,,,,,,,,,,,,,,
Double Dutch,,,,,,,,Chronic,,Warlock,,,,,,,,,,,,,,,,,
Dr Dream All Cure,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
Driftwood Diesel,,,,,,,,GMO Cookies,,Fuel,,,,,,,,,,,,,,,,,
Duke,,NZ Medical,ANTG,ANTG Duke,,,,Rocky,,Kush Mints,,,,,,,,,,,,,,,"THC 22%, CBD <1%",,
Duke (2),,ex NZ Medical,Helius,Helius Dawn (discontinued),,,Reign,,,,,,,,,,,,,,,,Denmark,,,,
Durban Poison,,,,,,,South African Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Early Girl,,,,,,,,Afghan/Pakistan Indica Landraces,37.50%,India Indica Landraces,37.50%,Mexico Sativa Landraces,25.00%,,,,,,,,,,,,,,
Early Misty,,,,,,,,Misty,,Early Skunk,,,,,,,,,,,,,,,,,
Early Pearl,,,,,,,,Early Girl,,Polyanna,,,,,,,,,,,,,,,,,
Early Skunk,,,,,,,,Early Pearl,,Skunk #1,,,,,,,,,,,,,,,,,
East African Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
East Coast Sour Diesel,,,,,ECSD,,Sour Diesel,,,,,,,,,,,,,,,,,,,,
El Jefe,,,,,The Boss,,,Rare Dankness #1,,Abusive OG,,,,,,,,,,,,,,,"THC 25%, CBD <1%",,
Electric Grapefruit,,NZ Medical,Bloom,Bloom EGF,,,,Acapulco Gold,,Grapefruit Tangie,,,,,,,,,,,,,,,,,
Electric Honeydew ,,NZ Medical,Aurora,Aurora Big Wave ,,,,Girl Scout Cookies,,91 OG Krypt Melon,,,,,,,,,,,,,,,,,
Emerald Triangle,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
Ethos Glue,,,,,,,,Black Fire F1,25.00%,Gorilla Glue #4,75.00%,,,,,,,,,,,,,,,,
Exodus Kush,,,,,,,,OG Kush,,UK Cheese,,,,,,,,,,,,,,,,,
F1,,,,,,,,Unknown Lineages,,,,,,,,,,,,,,,,,,,
F1 Durb,,,,,F1 Durban,,,F1,,Durban Poison,,,,,,,,,,,,,,,,,
Face Off OG,,,,,Faceoff OG Kush; Face Off,,,OG Kush,,,,,,,,,,,,,,,,,,,
Face On Fire,,,,,,,,White Fire,,Face Off OG,,,,,,,,,,,,,,,,,
Farm Gas,,NZ Medical,Aurora,Aurora Shimmer,,,,Sour Diesel,,GMO Cookies,,,,,,,,,,,,,,,,,
Fire Kush,,,,,Fire OG Kush; OG Kush Fire cut,,OG Kush,,,,,,,,,,,,,,,,,,,,
Fire OG,,NZ Medical,Adven,Adven Nighfall ,,,,OG Kush,,San Fernando Valley OG,,,,,,,,,,,,,,,,,
Florida Kush,,,,,Florida OG Kush,,OG Kush,,,,,,,,,,,,,,,,,,,,
